tle_0	tle_1	norad_cat_num	status
1 00477U 61015 FP 82016.37709437  .05727995 +00000-0 +13916-1 0  9993	2 00477 066.5811 096.4635 0026961 024.4905 336.3268 15.84877205067098	n_00477	
1 00509U 62071A   86267.45361516  .06528035 -33192-5 +19411-2 0  9991	2 00509 090.5517 138.3899 0005024 218.8540 142.9120 16.27198475280664	n_00509	
1 00519U 62071C   89294.53471175  .52388650 +32816-5 +46511-2 0  9997	2 00519 090.5913 229.7704 0009182 131.4432 228.9313 16.39184802443655	n_00519	
1 00523U 62071  D 80333.12413550  .07807957 +00000-0 +11328-1 0  9993	2 00523 090.4170 200.6518 0012769 087.6552 272.6328 15.93161822951488	n_00523	
1 00532U 63004  B 81296.28545177  .05785593 -58869-5 +39821-2 0  9997	2 00532 032.5458 357.8499 0885271 041.5191 331.9463 14.29095135049164	n_00532	
1 00533U 63005  A 79360.63131067  .10182025 +22243-4 +18210-3 0  9998	2 00533 100.4109 007.8304 0011428 216.9957 143.0545 16.40128746919319	n_00533	
1 00534U 63005  B 84149.57577733  .06275040 +22118-4 +45454-3 0  9993	2 00534 100.4117 346.1016 0010029 270.5633 089.6058 16.40391583159873	n_00534	
1 00536U 63005  D 78111.94917271  .00326990 +00000-0 +00000-0 0  9995	2 00536 100.4715 270.3548 0021521 282.6332 077.2462 15.71664524827141	n_00536	
1 00539U 61015 FY 91055.10247182 -.23002398 +8714001 +37618-1 0  9999	2 00539 066.9065 057.9749 0018877 144.1021 221.2539 16.05283545507506	n_00539	
1 00540U 61015 FZ 91231.85539049  .88227686 +00000-0 +54063-1 0  9997	2 00540 066.7909 357.6200 0029299 302.5609 057.4521 15.84904372527929	n_00540	
1 00542U 61015 GB 91186.66356961 -.10251457 +1694001 +16384-1 0  9990	2 00542 068.0679 032.5085 0029193 244.1536 114.2650 15.97837586552157	n_00542	
1 00546U 61015GF  14309.17515872  .10374388  33449+0  36988-1 0  9992	2 00546 067.1478 345.5455 0018146 046.1144 314.1536 15.97440250703540	n_00546	
