tle_0	tle_1	norad_cat_num	status
1 16560U 79017 GT 87040.40139470  .00237416 +00000-0 +22523-2 0  9998	2 16560 097.6777 352.3687 0011393 124.6181 235.6155 15.66779551074535	n_16560	
1 16561U 79017 GU 88015.43613774  .09015280 +21000-5 +62075-2 0  9995	2 16561 097.8783 004.2810 0017259 147.4653 222.8837 16.16152166126154	n_16561	
1 16562U 79017GV  86329.33278697  .00084407 +00000-0 +15779-2 0  9991	2 16562 097.7185 276.0446 0025197 180.8335 179.3935 15.48362334063465	n_16562	
1 16563U 79017 GW 88218.90023318  .08837452 +87000-5 +21810-2 0  9999	2 16563 097.7322 206.1139 0010569 197.9033 172.7942 16.29084634159839	n_16563	
1 16564U 79017GX  04127.95744661 +.01986936 +27844-5 +18728-3 0  9993	2 16564 097.7635 156.1693 0006526 204.4183 155.6801 16.38676984038323	n_16564	
1 16565U 79017 GY 93175.73620856  .00001011 +00000-0 +89197-3 0  9999	2 16565 082.8093 094.4958 0067318 313.1074 046.4466 13.83436075414760	n_16565	
1 16566U 79017 GZ 91257.67955611  .00000388 +00000-0 +48850-2 0  9998	2 16566 101.8118 150.8923 0278140 023.1361 338.1894 11.93065804660287	n_16566	
1 16567U 79017 HA 93073.79537150  .00001138 +00000-0 +11821-2 0  9996	2 16567 082.8120 196.7192 0067849 320.6830 038.9366 13.73964220398034	n_16567	
1 16568U 79017 HB 91239.21520434  .00000004 +00000-0 +99998-4 0  9997	2 16568 085.1184 304.4058 1902819 023.0352 344.5790 08.75365392009856	n_16568	
1 16569U 79017 HC 87317.42323197  .03362830 +00000-0 +10565-1 0  9991	2 16569 097.9046 299.6179 0012797 163.3436 197.1316 15.91184281116094	n_16569	
1 16570U 79017 HD 93074.14571236  .00000694 +00000-0 +98545-3 0  9998	2 16570 082.8831 334.6133 0158763 334.8457 024.5004 13.50573124391883	n_16570	
1 16571U 79017 HE 88118.99207354  .08863396 +86000-5 +20326-2 0  9996	2 16571 097.8797 122.8109 0004941 250.2196 111.0734 16.30028599142855	n_16571	
1 16572U 79017 HF 93177.14548245  .00002092 +00000-0 +65937-3 0  9991	2 16572 082.7424 226.2158 0045445 044.8814 315.6328 14.39387092425372	n_16572	
1 16573U 79017 HG 87345.38103231  .04969512 +82164-6 +10139-1 0  9992	2 16573 097.6672 293.5856 0022338 132.0199 231.4695 15.98898179120189	n_16573	
1 16574U 79017 HH 88294.70543495 -.02591683 +00000-0 -32275-2 0  9992	2 16574 097.7429 261.5507 0026276 021.1503 295.3089 16.06937185167954	n_16574	
1 16575U 79017 HJ 87197.43924957  .09522498 +17430-5 +76789-2 0  9991	2 16575 097.7700 163.4176 0019029 198.5084 170.9101 16.13848990098162	n_16575	
1 16576U 79017 HK 88221.54183828  .13377316 +89896-5 +27009-2 0  9995	2 16576 097.9193 220.6543 0008776 235.3893 131.6207 16.31290519156906	n_16576	
1 16577U 79017HL  86308.56094952  .01315811 +00000-0 +62043-2 0  9992	2 16577 097.9127 269.5840 0021833 145.6437 214.6363 15.82628815060427	n_16577	
1 16578U 79017HM  86087.26064500  .01749590 +83539-6 +43472-2 0  9994	2 16578 097.7958 030.5587 0026992 151.5249 208.7508 15.95123620026100	n_16578	
1 16579U 79017 HN 89043.41925302  .07133885 +20000-5 +54060-2 0  9991	2 16579 097.7955 018.1179 0012973 130.1081 230.2687 16.14977955184482	n_16579	
1 16580U 79017 HP 87254.30792730  .00815670 +00000-0 +69813-2 0  9997	2 16580 097.6460 202.9723 0018307 108.4824 252.3367 15.69160520106836	n_16580	
1 16581U 79017 HQ 89016.40739097  .07213545 +15627-5 +66547-2 0  9991	2 16581 097.6791 333.0580 0014558 154.7122 204.4795 16.12074171180784	n_16581	
1 16582U 79017 HR 92312.32255128 -.00000048 +00000-0 +94552-4 0  9993	2 16582 008.5444 317.1427 6831248 160.3872 249.9673 02.70323084006682	n_16582	
1 16583U 79017 HS 87125.41483955  .06398735 +12557-5 +86712-2 0  9991	2 16583 097.6836 080.6050 0021125 180.1385 180.7852 16.05861610087651	n_16583	
1 16584U 79017 HT 88252.58990324  .07582729 +96246-5 +29989-2 0  9994	2 16584 098.1137 286.7015 0013136 220.7483 142.9826 16.23529181161855	n_16584	
1 16585U 79017HU  86175.80083146  .09857666 +33106-5 +57317-2 0  9996	2 16585 097.5823 116.5943 0017054 188.9842 170.1073 16.18458945039032	n_16585	
1 16587U 79017 HW 89022.42780454  .08117726 +96234-5 +13536-2 0  9997	2 16587 097.8455 005.3039 0009342 156.2300 200.3231 16.33232104181873	n_16587	
1 16588U 79017 HX 88183.39624768  .09513598 +28000-5 +45977-2 0  9994	2 16588 097.6955 144.0474 0017342 191.1175 170.7145 16.20850390151474	n_16588	
1 16589U 86013A   86275.91927326  .00135262 +58078-5 +14508-3 0  9997	2 16589 064.7397 141.6548 0028627 083.4722 276.9612 16.08949815038226	n_16589	
1 16595U 86009D   86057.07999299  .14185653 +17167-4 +14612-3 0  9995	2 16595 069.9628 212.1083 0005120 304.7985 055.6240 16.50757329004640	n_16595	
1 16596U 86009E   86049.44164376  .04087123 +16288-4 +13404-2 0  9990	2 16596 069.9491 236.2373 0040924 322.5842 038.3507 16.23303499003388	n_16596	
1 16598U 86016  B 87109.22533474  .29652840 -30881-4 +44536-3 0  9991	2 16598 029.8930 002.5917 0027709 124.1471 236.3340 16.45761722001947	n_16598	
1 16600U 86016C   03303.60194532  .04439972 -77669-5  19059-2 0  9998	2 16600 027.8005 010.9720 0254192 319.4219 038.8731 15.77957232313823	n_16600	
1 16601U 86016D   86044.03454586  .00003311 -22942-4 +00000-0 0  9994	2 16601 030.2518 292.5730 0424977 182.2493 178.4067 15.27858604000116	n_16601	
1 16602U 86012C   86076.42768311  .52550099 +85198-5 +23666-3 0  9998	2 16602 072.8446 202.3472 0010256 272.0902 086.7405 16.56384409006602	n_16602	
1 16603U 86012D   86052.06261641  .11965501 +85575-5 +11765-2 0  9995	2 16603 072.8339 265.2938 0008399 040.8223 326.8583 16.38005470002677	n_16603	
1 16604U 86012E   86060.61909463  .06692370 +21667-5 +48392-2 0  9990	2 16604 072.8360 245.0297 0045495 306.0562 054.6431 16.13156904004017	n_16604	
1 16605U 85050  N 87124.42507208  .50696471 +30145-4 +16833-2 0  9994	2 16605 065.8714 044.2590 0024977 219.9629 143.3651 16.41657530105054	n_16605	
1 16606U 85050  P 87116.95892663  .14034775 +29758-4 +34369-2 0  9991	2 16606 065.7346 059.1168 0016914 197.6697 163.9576 16.28466431103943	n_16606	
1 16607U 85050  Q 87095.47138324  .00260638 +00000-0 +22068-2 0  9994	2 16607 065.8860 140.9405 0020598 323.9948 036.0185 15.69137765100521	n_16607	
1 16608U 85050  R 87097.61156065  .05420034 +40611-5 +64151-2 0  9994	2 16608 065.7328 120.4975 0008823 294.1392 065.8922 16.08101529100986	n_16608	
1 16609U 86017A   01082.20636684  .00382588  12180-4  29147-4 0  9997	2 16609 051.6362 249.6171 0048914 224.8684 134.9353 16.33569098863305	n_16609	
1 16617U 84083C   86174.48444003  .00377817 +00000-0 +24349-2 0  9994	2 16617 064.8921 200.7753 0021200 330.9196 029.1281 15.75499140105861	n_16617	
1 16618U 86020A   86116.09775084  .00326404 +22732-4 +17004-3 0  9994	2 16618 067.1002 149.6299 0135689 117.0535 244.4823 16.02334256009417	n_16618	
1 16620U 86021  A 88322.42734578  .24074650 +32095-4 +20180-2 0  9999	2 16620 064.9859 098.9199 0010664 283.5198 076.5202 16.39014424154293	n_16620	
1 16626U 84083D   86078.85399377  .00507681 +00000-0 +10832-1 0  9996	2 16626 064.7265 167.5129 0104744 065.8085 293.2958 15.38837157003544	n_16626	
1 16627U 84083E   86283.86366674  .11231476 +31714-4 +40051-2 0  9995	2 16627 064.7051 196.6256 0021222 249.9412 111.8393 16.23942810035226	n_16627	
1 16629U 84083G   86092.55541866  .25291303 +31869-5 +52764-1 0  9994	2 16629 064.6069 120.3277 0021450 055.3870 305.2802 15.98207345005671	n_16629	
1 16632U 84083H   86090.57502832  .02295439 +00000-0 +14294-1 0  9991	2 16632 064.9730 123.9263 0043486 173.5653 187.0510 15.75188006005323	n_16632	
1 16633U 84083  J 88150.46568709  .06764983 +33299-4 +23010-3 0  9991	2 16633 064.9936 311.4869 0021241 304.9463 059.6882 16.42113209215835	n_16633	
1 16634U 84083K   86118.86373612  .26749441 +31609-4 +72388-2 0  9993	2 16634 065.0128 027.2757 0016274 230.8311 131.2844 16.27384397009767	n_16634	
1 16635U 84083L   86093.45194013  .00448588 +00000-0 +15518-2 0  9996	2 16635 065.0541 114.1084 0029000 019.9479 340.2810 15.88411686005958	n_16635	
1 16636U 84083M   86114.17454911  .08234482 +62778-5 +69674-2 0  9997	2 16636 065.0122 041.9923 0017289 227.0239 133.4773 16.12871103008332	n_16636	
1 16637U 84083N   86114.30383000  .03489818 +00000-0 +19924-1 0  9990	2 16637 065.0309 045.0434 0062222 236.0746 124.1867 15.75660460008412	n_16637	
1 16638U 84083P   86116.18854757  .00430787 +00000-0 +23245-2 0  9991	2 16638 065.0413 037.8814 0072040 213.1770 142.8623 15.75946868096785	n_16638	
1 16639U 84083  Q 87335.16360598  .06663360 +31600-4 +96433-3 0  9994	2 16639 064.9961 200.7860 0008907 254.7771 107.4024 16.34173915187882	n_16639	
1 16640U 84083R   86097.50166900  .00816960 +59116-5 +87761-3 0  9996	2 16640 064.9873 099.4625 0034810 246.7944 132.5221 16.08317727006524	n_16640	
1 16641U 84083S   86090.55068989  .20657834 +10735-4 +83672-2 0  9997	2 16641 064.9746 123.8816 0011850 325.1736 034.8665 16.22883705005387	n_16641	
1 16642U 84083T   86095.05612281  .20288914 +35194-4 +81623-2 0  9997	2 16642 065.0069 107.6965 0016225 217.9808 143.5297 16.22786767006225	n_16642	
1 16643U 86022A   86174.96269179  .00045086 +00000-0 +26105-3 0  9993	2 16643 051.6166 200.2516 0003831 354.7299 004.3114 15.78191467016174	n_16643	
1 16648U 86025A   86337.54021478  .00039312 +00000-0 +75398-3 0  9997	2 16648 073.3512 304.4149 0009567 245.9114 114.2024 15.47877858039114	n_16648	
1 16652U 84083V   86113.23616316  .00541212 +00000-0 +73522-2 0  9996	2 16652 065.0226 049.4574 0006830 241.1534 119.4187 15.57312119008085	n_16652	
1 16653U 84083W   86118.82725166  .00001802 +00000-0 +14253-4 0  9995	2 16653 065.0923 027.2112 0063411 005.9693 351.8270 15.70586442034409	n_16653	
1 16655U 84083Y   86162.64398076  .00314621 +00000-0 +12422-2 0  9992	2 16655 065.1478 237.6618 0037819 319.8467 027.6245 15.85279887015816	n_16655	
1 16656U 84083Z   86134.86811708  .02735234 +58185-5 +26716-2 0  9990	2 16656 065.0016 331.4957 0023097 259.6036 100.4143 16.10490866011813	n_16656	
1 16658U 86026D   86272.37770332  .00102402 -41300-4 +68761-2 0  9997	2 16658 006.9028 274.9306 7196551 332.1633 040.2927 02.41705198004363	n_16658	
1 16660U 79017 HY 89026.45877596  .00215019 +00000-0 +28797-2 0  9992	2 16660 097.9492 031.4238 0009308 149.4199 204.6162 15.57908935009180	n_16660	
1 16661U 79017 HZ 87298.86312850  .07106046 +96370-6 +13492-1 0  9996	2 16661 097.9020 270.9030 0020160 174.0083 186.3763 16.00250201113143	n_16661	
1 16662U 79017JA  86302.84330559  .13598826 +12000-5 +15625-1 0  9991	2 16662 097.6375 252.0232 0022792 168.4237 192.2902 16.08387845059547	n_16662	
1 16663U 79017 JB 93175.57497187  .00000842 +00000-0 +83739-3 0  9996	2 16663 099.3828 210.0479 0162693 149.8762 211.1866 13.74752446424266	n_16663	
1 16670U 86027D   86203.10026683  .00007090 -49000-4 +00000-0 0  9992	2 16670 047.0410 227.7060 7351203 028.5679 008.9250 02.24075074004470	n_16670	
1 16671U 86027E   86303.75104949  .00000000 +00000-0 +00000-0 0  9993	2 16671 046.9022 197.4704 5650756 057.6014 345.0676 04.77544540000006	n_16671	
1 16672U 84083AD  86149.96289555  .04570819 +34769-5 +89813-2 0  9991	2 16672 064.9340 287.3467 0034408 311.6299 048.1921 15.98561790008630	n_16672	
1 16673U 84083 AE 89108.55599347  .22246175 +31100-4 +26384-2 0  9992	2 16673 064.7766 103.8664 0097685 291.9534 106.2699 16.21158598161914	n_16673	
1 16675U 84083AG  86152.50837791  .01598994 +26499-5 +41280-2 0  9997	2 16675 065.0127 272.3216 0023747 289.6272 070.2258 15.94265221009123	n_16675	
1 16677U 86028A   86158.49213912  .00470222 +30314-4 +15674-3 0  9998	2 16677 064.8553 133.1667 0100507 054.7322 306.3353 16.13669646009542	n_16677	
1 16683U 86031A   99055.85152881  .99999999  69470-5  60872-3 0  9997	2 16683 061.4392 145.1336 0581499 266.2343 211.0914 15.33250566 94744	n_16683	
1 16684U 86031B   86174.59920253  .00592027 +35202-4 +44734-3 0  9990	2 16684 062.8236 203.7102 0086486 125.3100 235.6955 16.06839439010390	n_16684	
1 16685U 86031C   86163.02986341  .16191728 +39103-4 +20765-3 0  9999	2 16685 062.8177 247.2226 0015593 116.0113 244.8936 16.48287197008580	n_16685	
1 16686U 86031D   99179.35395817  .99999999  91673-5  33605-3 0  9994	2 16686 061.7302 136.6770 0179350 268.4519 217.6436 16.28938049 85729	n_16686	
1 16687U 86032A   86174.38772574  .00095059 +00000-0 +52315-3 0  9993	2 16687 051.6205 203.1509 0002296 264.4380 095.8487 15.79168007019505	n_16687	
1 16689U 84083AH  86147.54660113  .09342179 +31096-4 +38013-2 0  9990	2 16689 064.9925 288.4798 0023535 310.0016 049.9086 16.22228186014281	n_16689	
1 16690U 84083AJ  86122.04559159  .00086793 +00000-0 +11058-2 0  9992	2 16690 065.0109 019.9136 0021966 297.4405 062.4670 15.58814530009137	n_16690	
1 16691U 84083AK  86140.13136780  .06003028 +00000-0 +24362-1 0  9991	2 16691 065.0155 314.5801 0025777 264.1706 098.4593 15.85323346010473	n_16691	
1 16694U 86029C   86347.91771836  .05914582 +78579-5 +10745-2 0  9995	2 16694 072.8436 151.4220 0007442 335.3505 024.7408 16.32216152038199	n_16694	
1 16695U 86029D   86225.36867658  .02025758 +89574-6 +56142-2 0  9992	2 16695 072.1328 087.1888 0027983 213.9721 145.9914 15.92894155018670	n_16695	
1 16696U 86029  E 87076.89186833  .27319651 +88000-5 +43829-2 0  9990	2 16696 072.8198 318.5660 0017191 246.5698 113.3880 16.33019305049911	n_16696	
1 16697U 86029F   86174.94610192  .00447136 +00000-0 +96003-2 0  9997	2 16697 072.8592 226.3509 0132851 161.6219 198.9853 15.35583099010593	n_16697	
1 16698U 86029G   86277.55454994  .01661805 +10629-5 +18894-2 0  9992	2 16698 072.8512 325.4240 0008002 197.6981 162.4389 16.08925241027053	n_16698	
1 16700U 86029J   86131.60831673  .15861482 +19895-5 +10202-1 0  9990	2 16700 072.8070 319.9684 0015254 261.6553 099.9273 16.17006822004113	n_16700	
1 16702U 84083AL  86171.21021170  .00255209 +00000-0 +13837-2 0  9993	2 16702 065.0136 208.6576 0022738 280.9835 078.9170 15.79323321015149	n_16702	
1 16703U 84083AM  86174.15971555  .00168589 +00000-0 +99924-3 0  9997	2 16703 065.0076 196.8625 0018740 259.1317 100.7823 15.77494889015816	n_16703	
1 16704U 84083AN  86178.65517720  .02013205 +40890-5 +27039-2 0  9996	2 16704 065.0046 180.6988 0016014 268.2362 091.2863 16.05880699015908	n_16704	
1 16705U 84083AP  86150.96097692  .02230020 +40180-5 +33820-2 0  9995	2 16705 065.0032 276.9776 0022056 290.6468 069.2595 16.03653035011674	n_16705	
1 16706U 84083AQ  86140.85010554  .05658915 +65577-5 +48427-2 0  9991	2 16706 065.0033 311.6891 0023724 292.5823 068.6037 16.12386671009658	n_16706	
1 16707U 84083AR  86165.79536087  .35129356 +10263-4 +19724-1 0  9999	2 16707 064.9749 223.6107 0036410 305.3477 056.7509 16.17170568013273	n_16707	
1 16708U 84083AS  86169.26255343  .06165699 +85763-5 +32590-2 0  9992	2 16708 064.9995 213.0281 0014384 274.7645 085.4741 16.19439490013692	n_16708	
1 16709U 84083AT  86183.98178922  .00433845 +00000-0 +16052-2 0  9991	2 16709 065.0183 164.0507 0020325 264.2871 104.5060 15.87436379019934	n_16709	
1 16710U 84083AU  86150.69098984  .07759601 +10415-4 +37874-2 0  9992	2 16710 065.0016 277.2856 0022987 300.9705 059.3825 16.20013657010884	n_16710	
1 16711U 84083AV  86142.77982560  .11631282 +32093-4 +27951-2 0  9995	2 16711 065.0087 304.2603 0019668 229.1603 134.4526 16.28480526012825	n_16711	
1 16712U 84083AW  86170.20072934  .10923418 +30894-4 +36370-2 0  9996	2 16712 065.0125 208.7866 0018832 244.9670 116.9322 16.24897589015200	n_16712	
1 16713U 84083AX  86132.71476272  .10394184 +31622-4 +38587-2 0  9998	2 16713 064.9794 339.3147 0021326 237.8067 124.7928 16.23470141099398	n_16713	
1 16714U 86029  L 88109.61000863  .18639345 +90249-5 +40704-3 0  9990	2 16714 072.8561 041.1694 0011653 250.9998 108.9862 16.45772118115365	n_16714	
1 16716U 86029M   86128.52346299  .10642932 +10020-5 +18977-1 0  9999	2 16716 072.8475 327.7803 0019396 230.5162 126.2598 16.01229638003625	n_16716	
1 16721U 82033GT  86174.11675976  .00132981 +00000-0 +57328-3 0  9993	2 16721 051.6211 204.3229 0032289 267.6386 092.0195 15.83532609240711	n_16721	
1 16724U 86036A   86154.79320757  .00080068 +83302-5 +11975-3 0  9996	2 16724 062.8134 025.7574 0109087 109.6190 251.6524 15.94154678002093	n_16724	
1 16725U 86036B   86175.44678160  .19093706 +40210-4 +20722-3 0  9999	2 16725 062.7809 302.5533 0000875 272.1267 088.6158 16.50595033005438	n_16725	
1 16726U 79017 JC 88323.68239538  .04870110 +00000-6 +84855-2 0  9993	2 16726 097.7069 279.4426 0019559 124.2405 236.0731 16.01758835172368	n_16726	
1 16733U 86038  E 88283.98072223  .00000035 +00000-0 +00000-4 0  9999	2 16733 045.8096 153.1908 4775515 107.3327 308.9436 05.37162906003597	n_16733	
1 16734U 86038F   86335.70360082  .93181584 +00000-0 +10000-1 0  9998	2 16734 046.7054 215.2445 4797028 058.9507 339.6288 06.25067019000008	n_16734	
1 16737U 86040A   86161.91808979  .00018180 +00000-0 +28938-4 0  9997	2 16737 082.3314 013.8710 0010127 262.1575 097.8615 16.03506915002189	n_16737	
1 16738U 86040B   86151.77335637  .03669733 -96687-5 +65307-3 0  9998	2 16738 082.3313 025.4975 0039857 075.1679 286.3995 16.30071708000562	n_16738	
1 16739U 86033  C 87248.51980354  .46307907 +89267-5 +25805-2 0  9995	2 16739 072.8352 049.1488 0012882 176.2389 184.2687 16.41066632086539	n_16739	
1 16740U 86033D   86363.10064611  .07565708 +83957-5 +70928-3 0  9997	2 16740 072.8382 229.2811 0007203 114.4946 247.0609 16.38463632035992	n_16740	
1 16741U 86033E   86322.30076880  .34194582 +87000-5 +10264-1 0  9992	2 16741 072.8258 358.0619 0011182 248.6731 112.4236 16.26677045041850	n_16741	
1 16742U 86033  F 88116.83563218  .42948112 +85986-5 +30679-3 0  9990	2 16742 072.8420 138.7885 0011263 276.5871 083.4046 16.52810325111892	n_16742	
1 16743U 86033G   86178.79030135  .05573884 +11665-5 +72406-2 0  9994	2 16743 072.8576 319.7033 0011771 299.7651 061.5961 16.06734325006955	n_16743	
1 16744U 86033H   86304.15995959  .22232565 +87696-5 +26606-2 0  9995	2 16744 072.8602 015.5597 0005330 280.8750 079.5694 16.36319604026650	n_16744	
1 16745U 86041A   86162.88747084  .00059686 +00000-0 +41876-4 0  9995	2 16745 070.3495 030.3327 0019535 109.0135 251.4473 16.15610843002174	n_16745	
1 16746U 86041B   86176.15065870  .04028535 +16444-4 +40567-3 0  9998	2 16746 070.3356 351.6565 0023185 347.0626 013.0487 16.36772464004304	n_16746	
1 16747U 86040C   86158.73231832  .00627142 -99015-5 +99999-4 0  9991	2 16747 082.3039 017.3200 0010705 235.1560 126.5735 16.33614609001683	n_16747	
1 16748U 86035  C 87081.72672210  .14547103 +56900-4 +19566-3 0  9998	2 16748 051.5992 208.4048 0007475 289.1225 071.0838 16.48746888062866	n_16748	
1 16749U 82033GU  86174.68058091  .00382264 +00000-0 +11755-2 0  9992	2 16749 051.6082 200.5852 0005149 030.1307 330.1854 15.91105156240808	n_16749	
1 16751U 82033GW  86294.04868723  .04036413 +55600-4 +71166-3 0  9998	2 16751 051.6009 293.6186 0001850 029.7857 331.7571 16.31967060038546	n_16751	
1 16752U 82033GX  86174.27383101  .00214604 +00000-0 +84918-3 0  9998	2 16752 051.6229 203.1307 0007429 357.0969 003.0569 15.86075079240732	n_16752	
1 16754U 86036D   86227.48841063  .01176790 +37737-4 +20515-3 0  9993	2 16754 062.8025 097.4089 0020251 118.1693 242.3139 16.31715720013779	n_16754	
1 16756U 86036F   86174.69485920  .00255810 +00000-0 +15536-2 0  9990	2 16756 062.8496 311.3000 0087196 031.7090 328.9299 15.71748786005226	n_16756	
1 16757U 86036G   86158.06362508  .00170521 +37222-4 +99999-4 0  9992	2 16757 062.8132 013.1055 0060225 022.1215 338.2497 16.14203766002625	n_16757	
1 16767U 86043A   86174.88742114  .00526617 +31357-4 +14956-3 0  9997	2 16767 064.8683 056.5047 0078189 080.2788 280.7115 16.19288277002790	n_16767	
1 16768U 86043B   86163.82051524  .15271324 +33312-4 +28947-3 0  9994	2 16768 064.8788 096.9408 0030063 066.6152 293.8341 16.43983716001015	n_16768	
1 16770U 86044B   86163.59306027  .06548184 +56604-4 +23327-3 0  9990	2 16770 051.6156 265.4873 0003852 229.2911 130.7981 16.44321038000434	n_16770	
1 16771U 86044C   86161.88476637  .10411841 +56049-4 +10489-2 0  9997	2 16771 051.6063 275.1288 0010245 128.0664 232.1206 16.37024808000158	n_16771	
1 16772U 86045A   86175.93866151  .00126480 -94181-5 +54618-4 0  9990	2 16772 082.3326 026.4179 0156769 193.6661 166.0623 16.00118010002187	n_16772	
1 16773U 86045B   86164.39668804  .19350046 -99432-5 +35641-3 0  9999	2 16773 082.3169 039.5854 0007397 073.2101 287.0290 16.47270006000347	n_16773	
1 16774U 83044 BR 89100.55108267  .09206974 +00000-0 +33475-1 0  9996	2 16774 064.9352 103.8999 0020184 062.2645 298.0129 15.87772057199723	n_16774	
1 16775U 83044 BS 89062.96965187  .18273048 +35000-5 +32281-1 0  9994	2 16775 064.9728 217.3960 0022735 355.0711 007.6570 16.01052145202771	n_16775	
1 16776U 83044 BT 89349.69113952  .07323546 +30000-5 +17272-1 0  9993	2 16776 064.9622 087.5430 0032592 323.2153 036.4780 15.95444311239745	n_16776	
1 16777U 83044 BU 92141.00000000 -.00000008 +00000-0 +99999-4 0  9992	2 16777 018.3360 142.7580 7032091 326.0030 059.0530 02.40682852001262	n_16777	
1 16778U 83044 BV 89087.53918117  .16189762 +28000-5 +38827-1 0  9999	2 16778 064.9707 150.0724 0024634 022.6053 341.1831 15.95568153203521	n_16778	
1 16779U 83044 BW 89012.49294356  .12089891 +00000-0 +67890-1 0  9990	2 16779 064.9703 355.6851 0034515 099.1925 267.5606 15.78000468188500	n_16779	
1 16780U 83044 BX 90181.43008973  .02539799 +11361-1 +61644-2 0  9994	2 16780 064.9516 195.1659 0028065 259.9280 100.1719 16.00000131035174	n_16780	
1 16781U 83044 BY 91257.66670573 -.00000241 +00000-0 +99999-4 0  9993	2 16781 063.2315 127.4124 7107814 257.8849 021.0845 02.00563682097353	n_16781	
1 16782U 83044 BZ 90173.03897080  .40635529 +36032-4 +44915-2 0  9995	2 16782 064.9736 227.2332 0018093 287.3048 072.8729 16.36177011264331	n_16782	
1 16783U 86040D   86162.29252234  .00053246 +00000-0 +28938-4 0  9999	2 16783 082.3012 013.4369 0021545 273.8383 091.0437 16.19083640002240	n_16783	
1 16787U 86040H   86174.68792190  .00567739 -11588-5 +18187-2 0  9998	2 16787 082.3459 359.7823 0118778 269.6215 088.0265 15.80234991101465	n_16787	
1 16788U 86040J   86174.06642969  .10763771 -97642-5 +51787-2 0  9992	2 16788 082.3024 000.3152 0052001 265.4652 097.2705 16.17794509101382	n_16788	
1 16789U 86044  D 90066.25994008  .63821417 +48902-4 +72943-3 0  9998	2 16789 046.8592 081.8422 0315173 166.8426 196.7492 15.86486389033401	n_16789	
1 16790U 86044E   86354.69468085  .00000000 +00000-0 +00000-0 0  9997	2 16790 046.6038 224.8763 7052684 052.7258 352.8038 02.65026584000002	n_16790	
1 16793U 86041C   86173.52875149  .61834825 +17072-4 +10024-2 0  9998	2 16793 070.3295 359.6658 0024594 286.0603 074.2952 16.45798815003876	n_16793	
1 16794U 86041D   86175.01874790  .03598282 +16990-4 +68141-4 0  9999	2 16794 070.3084 354.0230 0023977 256.1253 105.6787 16.44945069004141	n_16794	
1 16795U 86041E   86164.68011208  .04360401 +15709-4 +17278-2 0  9999	2 16795 070.3506 025.0150 0014159 112.6925 247.5874 16.23225055002460	n_16795	
1 16796U 86041F   86166.57781562  .42454880 +17306-4 +30331-3 0  9995	2 16796 070.3469 019.2498 0008745 248.9624 111.8230 16.52934665002771	n_16796	
1 16800U 86048A   86183.93695839  .00001362 +00000-0 +15739-4 0  9990	2 16800 069.9860 069.8276 0047524 195.7890 164.1106 15.61709819002114	n_16800	
1 16801U 86048B   86173.88645405  .00403295 +47159-5 +48621-3 0  9995	2 16801 069.9915 097.4002 0125182 056.3759 304.9366 15.94209054000553	n_16801	
1 16802U 86049A   96315.23136217  .99999999  44010-5  90357-3 0  9996	2 16802 063.5996 356.9724 0499589 253.0045 101.9870 15.51847486 76789	n_16802	
1 16803U 86049B   86270.52985876  .20346472 +40133-4 +94852-4 0  9993	2 16803 062.8152 155.5141 0010063 142.2975 219.5915 16.55787606015746	n_16803	
1 16804U 86049C   86273.94076579  .28179577 +39457-4 +31252-3 0  9993	2 16804 062.8213 143.9509 0006846 142.9807 217.6083 16.50038103016257	n_16804	
1 16805U 86049D   96356.94392736  .99999999  71966-5  48870-3 0  9995	2 16805 063.9244 010.5853 0212953 254.8643 103.8131 16.24610837 75801	n_16805	
1 16806U 86024B   86244.75657155  .20715383 +33781-4 +10019-3 0  9995	2 16806 064.9744 118.2037 0011979 260.3096 099.7779 16.55457992026472	n_16806	
1 16807U 86024C   86178.54977035  .37033177 +34336-4 +43290-3 0  9997	2 16807 064.9591 004.5613 0014733 200.5768 160.5498 16.48993442015776	n_16807	
1 16808U 86024D   86175.16305854  .02596434 +81090-5 +16328-2 0  9990	2 16808 064.9897 017.3265 0016905 234.2056 125.7550 16.17039455015232	n_16808	
1 16810U 82033GY  86248.36587514  .06586949 +54927-4 +66339-3 0  9997	2 16810 051.5903 174.6849 0009871 163.1955 206.7794 16.37046307252501	n_16810	
1 16811U 82033GZ  86243.10978313  .07448601 +55282-4 +72015-3 0  9992	2 16811 051.6108 201.2469 0002710 178.4065 196.7422 16.37594450251840	n_16811	
1 16812U 82033HA  86250.04408985  .02836150 +53751-4 +10092-2 0  9997	2 16812 051.6094 165.6837 0016832 187.7199 173.0474 16.23854050252776	n_16812	
1 16813U 82033 HB 87026.31477119  .04301168 +55500-4 +40310-3 0  9994	2 16813 051.5989 144.0345 0004996 321.7396 038.4083 16.37833988275240	n_16813	
1 16814U 82033 HC 87050.15201244  .04811236 +55600-4 +84941-3 0  9999	2 16814 051.6042 017.8594 0003996 001.9256 008.4478 16.31927156057761	n_16814	
1 16815U 82033HD  86262.11312555  .00260038 +00000-0 +56673-3 0  9993	2 16815 051.6308 104.7729 0004333 232.6194 127.4420 15.97571461254665	n_16815	
1 16816U 86045C   86178.04307968  .16815101 -10217-4 +28740-3 0  9995	2 16816 082.3206 023.9564 0070544 206.3898 153.5594 16.37832239002525	n_16816	
