tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 14882U 75004 HG 89182.43451219  .01534119 +00000-0 +62205-2 0  9997	2 14882 098.7015 005.6564 0022971 282.1958 073.7780 15.85739390397929	31.12989512355917	97.38233733680558	14882	DELTA 1 DEB             	US   	1975-01-22	1989-07-02	1989-07-10 23:06:00	  0.0055
1 14885U 84033  B 84134.79623818  .11479424 +39777-4 +49584-3 0  9990	2 14885 062.7822 015.1430 0026978 129.9551 231.0695 16.40032667006291	-34.43619845546558	171.98521515005325	14885	SL-6 R/B(1)             	CIS  	1984-04-04	1984-05-14	1984-05-15 20:00:00	 41.0700
1 14885U 84033  B 84134.79623818  .11479424 +39777-4 +49584-3 0  9990	2 14885 062.7822 015.1430 0026978 129.9551 231.0695 16.40032667006291	-27.270769940610265	176.75668968157578	14885	SL-6 R/B(1)             	CIS  	1984-04-04	1984-05-14	1984-05-15 20:02:00	 41.0700
1 14885U 84033  B 84134.79623818  .11479424 +39777-4 +49584-3 0  9990	2 14885 062.7822 015.1430 0026978 129.9551 231.0695 16.40032667006291	-12.482641991251032	-175.41418867945308	14885	SL-6 R/B(1)             	CIS  	1984-04-04	1984-05-14	1984-05-15 20:06:00	 41.0700
1 14886U 84033  C 84122.82374135  .36338344 +39318-4 +70044-3 0  9995	2 14886 062.8642 061.4247 0028564 108.2361 251.6072 16.44091011004393	-38.637222417697814	24.16372200981334	14886	SL-6 PLAT               	CIS  	1984-04-04	1984-05-01	1984-05-02 10:00:00	 14.7300
1 14886U 84033  C 84122.82374135  .36338344 +39318-4 +70044-3 0  9995	2 14886 062.8642 061.4247 0028564 108.2361 251.6072 16.44091011004393	-31.618468800173936	29.45357545594128	14886	SL-6 PLAT               	CIS  	1984-04-04	1984-05-01	1984-05-02 10:02:00	 14.7300
1 14886U 84033  C 84122.82374135  .36338344 +39318-4 +70044-3 0  9995	2 14886 062.8642 061.4247 0028564 108.2361 251.6072 16.44091011004393	-16.989479135834124	37.830320944625434	14886	SL-6 PLAT               	CIS  	1984-04-04	1984-05-01	1984-05-02 10:06:00	 14.7300
1 14890U 84030  E 84125.20203448  .06804131 +84226-5 +49130-3 0  9990	2 14890 072.8255 240.8647 0017087 031.0544 329.0336 16.39323872006965	5.523009210522316	-10.655524553363955	14890	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-04	1984-05-07 13:00:00	  3.0100
1 14890U 84030  E 84125.20203448  .06804131 +84226-5 +49130-3 0  9990	2 14890 072.8255 240.8647 0017087 031.0544 329.0336 16.39323872006965	-2.523042637655326	-8.66602961324358	14890	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-04	1984-05-07 13:02:00	  3.0100
1 14890U 84030  E 84125.20203448  .06804131 +84226-5 +49130-3 0  9990	2 14890 072.8255 240.8647 0017087 031.0544 329.0336 16.39323872006965	-18.57655042911475	-4.4907388155961945	14890	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-04	1984-05-07 13:06:00	  3.0100
